,id,coordinate,Start_Date,End_Date
101,275693,"[-5.932459, 34.310912]",-30.0,300.0
102,275694,"[-5.319788, 35.89005]",-30.0,640.0
103,275696,"[-6.821498, 34.006821]",-330.0,640.0
104,275705,"[-6.146672, 35.208551]",-30.0,300.0
105,275706,"[-5.259559, 35.574779]",-330.0,300.0
106,275711,"[-5.360689, 35.780909]",-30.0,640.0
107,275717,"[-5.927058, 34.535509]",-30.0,300.0
108,275718,"[-6.375247, 34.474925]",-30.0,300.0
109,275720,"[-5.723152, 34.052133]",-30.0,640.0
110,275721,"[-5.574834, 33.891331]",-30.0,300.0
111,275725,"[-5.998299, 34.686239]",-30.0,300.0
112,275726,"[-5.929456, 34.459469]",-30.0,300.0
113,275732,"[-5.411197, 35.559201]",-330.0,640.0
114,275744,"[-5.915794, 35.522244]",-30.0,640.0
115,277845,"[[[-6.0, 35.5], [-5.5, 35.5], [-5.5, 36.0], [-6.0, 36.0], [-6.0, 35.5]]]",-30.0,300.0
116,277848,"[-5.921506397798346, 34.93957061902201]",-30.0,300.0
117,277849,"[-5.951471422669314, 34.8205112518098]",-30.0,300.0
118,277850,"[-5.979413923423958, 34.75245147801773]",-30.0,300.0
119,285399,"[1.116953, 34.98361]",-30.0,300.0
120,285400,"[1.824867, 35.576]",-30.0,640.0
121,285401,"[-1.149976, 35.16668]",-30.0,640.0
122,285402,"[1.142576, 35.993788]",-30.0,300.0
123,285403,"[1.710039, 35.561543]",-30.0,300.0
124,285411,"[0.250236, 35.099704]",-30.0,640.0
125,285412,"[-1.144788, 35.301602]",-30.0,640.0
126,285413,"[-1.031484, 34.903623]",-30.0,640.0
127,285415,"[-0.049719, 35.31646]",-30.0,640.0
128,285416,"[-0.565538, 35.309358]",-30.0,300.0
129,285418,"[0.352432, 35.721173]",-30.0,300.0
130,285422,"[-1.298801, 35.346511]",-30.0,300.0
131,285424,"[0.069577, 35.590223]",-30.0,640.0
132,285425,"[-0.896073, 35.70429]",-550.0,640.0
133,285430,"[1.521582, 35.470067]",-30.0,640.0
134,285432,"[-1.556147, 35.02711]",-30.0,640.0
135,285436,"[0.095348, 35.006151]",-30.0,300.0
136,285442,"[0.68479, 35.45602]",-30.0,300.0
137,285444,"[0.824593, 35.929412]",-30.0,300.0
138,285445,"[-0.35433, 35.365217]",-30.0,300.0
139,285447,"[-0.057595, 35.392496]",-30.0,640.0
140,285449,"[-1.361854, 34.980085]",-30.0,300.0
141,285452,"[0.913777, 35.959185]",-30.0,300.0
142,285455,"[1.638242, 35.551541]",-30.0,300.0
